År,Streaming,Ljudnivå
1973,,-11.36
1974,,-11.17
1975,,-11.25
1976,,-10.82
1977,,-10.98
1978,,-10.86
1979,,-10.71
1980,,-10.7
1981,,-10.86
1982,,-10.97
1983,,-11.38
1984,,-11.09
1985,,-11.21
1986,,-10.82
1987,,-10.83
1988,,-10.93
1989,,-10.94
1990,,-10.94
1991,,-11.18
1992,,-11.19
1993,,-10.77
1994,,-10.72
1995,,-10.24
1996,,-9.93
1997,,-9.54
1998,,-8.89
1999,,-8.58
2000,,-8.06
2001,,-7.68
2002,,-7.82
2003,,-7.61
2004,,-7.37
2005,0.224,-7.24
2006,0.299,-7.14
2007,0.33,-7.11
2008,0.301,-7.06
2009,0.281,-7.1
2010,0.285,-7.24
2011,0.47,-7.33
2012,0.728,-6.99
2013,1.086,-7.19
2014,1.303,-7.05
2015,1.888,-7.48
2016,3.647,-7.34
2017,5.691,-7.38
2018,7.36,-7.53
2019,9.128,-7.67
2020,10.264,-7.83
2021,12.283,-8.22
