Format,Year,Value (For Charting)
CD,1983,50.538815261
CD,1984,290.964980751
CD,1985,1059.378461896
CD,1986,2483.562185219
CD,1987,4105.413802817
CD,1988,5170.073410820
CD,1989,6107.285028226
CD,1990,7728.599831676
CD,1991,9320.481596916
CD,1992,11110.668977192
CD,1993,13187.500117647
CD,1994,16715.102884615
CD,1995,18007.499980315
CD,1996,18530.526631612
CD,1997,18079.150096573
CD,1998,20496.622576687
CD,1999,22513.531071429
CD,2000,22458.127163182
CD,2001,21332.583043478
CD,2002,19592.918763202
CD,2003,17866.110595109
CD,2004,17733.591622552
CD,2005,15764.409272913
CD,2006,13605.844508929
CD,2007,10520.756664255
CD,2008,7436.976268329
CD,2009,5891.377310208
CD,2010,4548.945486481
CD,2011,4034.139737884
CD,2012,3168.321340109
CD,2013,2689.553328770
CD,2014,2195.814096104
CD,2015,1784.194733087
CD,2016,1378.809488191
CD,2017,1246.357914684
CD,2018,810.942438286
CD,2019,721.963353856
CD,2020,546.375543076
CD,2021,632.205389987
CD,2022,482.578146838
CD Single,1988,24.243609467
CD Single,1990,13.434812548
CD Single,1991,75.419900881
CD Single,1992,94.075128297
CD Single,1993,92.758470588
CD Single,1994,110.782358300
CD Single,1995,212.962201444
CD Single,1996,343.389327597
CD Single,1997,497.239990654
CD Single,1998,382.785558282
CD Single,1999,390.675102041
CD Single,2000,242.519561556
CD Single,2001,131.207267081
CD Single,2002,31.884591440
CD Single,2003,57.258586957
CD Single,2004,23.238883007
CD Single,2005,16.333535586
CD Single,2006,11.177795139
CD Single,2007,17.223304390
CD Single,2008,4.757446482
CD Single,2009,4.228783380
CD Single,2010,3.892117163
CD Single,2011,4.553645655
CD Single,2012,4.110906975
CD Single,2013,3.072486458
CD Single,2014,4.470148308
CD Single,2015,1.477921036
CD Single,2016,0.320934503
CD Single,2017,0.217699423
CD Single,2018,0.018419090
CD Single,2019,0.071611990
CD Single,2020,0.418784155
CD Single,2021,0.117422263
CD Single,2022,6.818145333
Cassette,1973,500.940990991
Cassette,1974,517.637241379
Cassette,1975,537.440780669
Cassette,1976,749.381959578
Cassette,1977,1205.390891089
Cassette,1978,2018.960414110
Cassette,1979,2340.433787879
Cassette,1980,2503.905036408
Cassette,1981,3421.713245325
Cassette,1982,4198.765259067
Cassette,1983,5320.973288153
Cassette,1984,6714.728147257
Cassette,1985,6558.899000929
Cassette,1986,6674.189530109
Cassette,1987,7624.744749120
Cassette,1988,8374.188000845
Cassette,1989,7896.492733871
Cassette,1990,7775.173848508
Cassette,1991,6488.260190896
Cassette,1992,6500.361913756
Cassette,1993,5905.352588235
Cassette,1994,5877.586653171
Cassette,1995,4423.622427822
Cassette,1996,3553.827734226
Cassette,1997,2776.484538941
Cassette,1998,2549.330273006
Cassette,1999,1864.841224490
Cassette,2000,1063.890998839
Cassette,2001,600.512857143
Cassette,2002,341.295269594
Cassette,2003,171.9348125
Cassette,2004,36.717435151
Cassette,2005,19.630212494
Cassette,2006,5.371148313
Cassette,2007,4.235238784
Cassette,2008,1.223343381
Cassette Single,1987,36.839493838
Cassette Single,1988,141.750900254
Cassette Single,1989,459.279540323
Cassette Single,1990,577.473026014
Cassette Single,1991,495.063964758
Cassette Single,1992,623.273799002
Cassette Single,1993,604.550294118
Cassette Single,1994,542.853302969
Cassette Single,1995,453.768874672
Cassette Single,1996,353.088537285
Cassette Single,1997,243.423317757
Cassette Single,1998,169.488539877
Cassette Single,1999,84.318367347
Cassette Single,2000,7.817729384
Download Album,2004,70.491278454
Download Album,2005,203.345025602
Download Album,2006,400.513464782
Download Album,2007,702.202590449
Download Album,2008,863.544500077
Download Album,2009,1015.317248307
Download Album,2010,1170.856211248
Download Album,2011,1393.155362120
Download Album,2012,1535.742455769
Download Album,2013,1547.890162020
Download Album,2014,1381.957231192
Download Album,2015,1314.301578191
Download Album,2016,1059.129340410
Download Album,2017,775.745715303
Download Album,2018,577.203455944
Download Album,2019,422.146436817
Download Album,2020,361.023305368
Download Album,2021,327.543514751
Download Album,2022,241.864662141
Download Single,2004,213.797723663
Download Single,2005,544.401236559
Download Single,2006,842.834786706
Download Single,2007,1144.926218041
Download Single,2008,1403.038931181
Download Single,2009,1598.752942383
Download Single,2010,1793.594957259
Download Single,2011,1980.705755783
Download Single,2012,2096.273518483
Download Single,2013,1976.628246878
Download Single,2014,1675.471695712
Download Single,2015,1463.463415110
Download Single,2016,1097.645532594
Download Single,2017,797.394060791
Download Single,2018,570.919164664
Download Single,2019,467.448777017
Download Single,2020,342.936792588
Download Single,2021,290.411731158
Download Single,2022,214.141847111
LP/EP,1973,8212.795720721
LP/EP,1974,8049.496551724
LP/EP,1975,8077.930762082
LP/EP,1976,8553.343848858
LP/EP,1977,10600.775420792
LP/EP,1978,11101.589133436
LP/EP,1979,8291.891666667
LP/EP,1980,7813.604368932
LP/EP,1981,7539.166265127
LP/EP,1982,5838.239797927
LP/EP,1983,4962.794126506
LP/EP,1984,4362.503022137
LP/EP,1985,3482.757690520
LP/EP,1986,2624.816286496
LP/EP,1987,2043.175004401
LP/EP,1988,1316.576424345
LP/EP,1989,519.934649194
LP/EP,1990,193.685214231
LP/EP,1991,63.172224670
LP/EP,1992,28.159960798
LP/EP,1993,21.468117647
LP/EP,1994,35.150195682
LP/EP,1995,48.199740814
LP/EP,1996,68.640560867
LP/EP,1997,60.719074766
LP/EP,1998,61.044601227
LP/EP,1999,55.860918367
LP/EP,2000,47.076326945
LP/EP,2001,45.278074534
LP/EP,2002,33.348679822
LP/EP,2003,34.514203804
LP/EP,2004,29.900696136
LP/EP,2005,21.278550947
LP/EP,2006,22.791088790
LP/EP,2007,32.328989387
LP/EP,2008,77.070633015
LP/EP,2009,87.031090208
LP/EP,2010,119.313522673
LP/EP,2011,155.344368918
LP/EP,2012,204.867751876
LP/EP,2013,264.743437545
LP/EP,2014,301.445489494
LP/EP,2015,411.638251067
LP/EP,2016,433.398306683
LP/EP,2017,463.853289658
LP/EP,2018,488.588467059
LP/EP,2019,548.924508233
LP/EP,2020,728.139201380
LP/EP,2021,1128.158938777
LP/EP,2022,1224.385495213
Limited Tier Paid Subscription,2016,313.732556520
Limited Tier Paid Subscription,2017,679.090770079
Limited Tier Paid Subscription,2018,863.038111846
Limited Tier Paid Subscription,2019,730.588584716
Limited Tier Paid Subscription,2020,811.704709712
Limited Tier Paid Subscription,2021,970.178541540
Limited Tier Paid Subscription,2022,1063.012028531
On-Demand Streaming (Ad-Supported),2011,148.058535870
On-Demand Streaming (Ad-Supported),2012,217.885057781
