Format;Year;Revenue
Cassette;1973;500.940990991
Cassette;1974;517.637241379
Cassette;1975;537.440780669
Cassette;1976;749.381959578
Cassette;1977;1205.390891089
Cassette;1978;2018.960414110
Cassette;1979;2340.433787879
Cassette;1980;2503.905036408
Cassette;1981;3421.713245325
Cassette;1982;4198.765259067
Cassette;1983;5320.973288153
Cassette;1984;6714.728147257
Cassette;1985;6558.899000929
Cassette;1986;6674.189530109
Cassette;1987;7624.744749120
Cassette;1987;36.839493838
Cassette;1988;8374.188000845
Cassette;1988;141.750900254
Cassette;1989;7896.492733871
Cassette;1989;459.279540323
Cassette;1990;7775.173848508
Cassette;1990;577.473026014
Cassette;1991;6488.260190896
Cassette;1991;495.063964758
Cassette;1992;6500.361913756
Cassette;1992;623.273799002
Cassette;1993;5905.352588235
Cassette;1993;604.550294118
Cassette;1994;5877.586653171
Cassette;1994;542.853302969
Cassette;1995;4423.622427822
Cassette;1995;453.768874672
Cassette;1996;3553.827734226
Cassette;1996;353.088537285
Cassette;1997;2776.484538941
Cassette;1997;243.423317757
Cassette;1998;2549.330273006
Cassette;1998;169.488539877
Cassette;1999;1864.841224490
Cassette;1999;84.318367347
Cassette;2000;1063.890998839
Cassette;2000;7.817729384
Cassette;2001;600.512857143
Cassette;2002;341.295269594
Cassette;2003;171.9348125
Cassette;2004;36.717435151
Cassette;2005;19.630212494
Cassette;2006;5.371148313
Cassette;2007;4.235238784
Cassette;2008;1.223343381
CD;1983;50.538815261
CD;1984;290.964980751
CD;1985;1059.378461896
CD;1986;2483.562185219
CD;1987;4105.413802817
CD;1988;5170.073410820
CD;1988;24.243609467
CD;1989;6107.285028226
CD;1990;7728.599831676
CD;1990;13.434812548
CD;1991;9320.481596916
CD;1991;75.419900881
CD;1992;11110.668977192
CD;1992;94.075128297
CD;1993;13187.500117647
CD;1993;92.758470588
CD;1994;16715.102884615
CD;1994;110.782358300
CD;1995;18007.499980315
CD;1995;212.962201444
CD;1996;18530.526631612
CD;1996;343.389327597
CD;1997;18079.150096573
CD;1997;497.239990654
CD;1998;20496.622576687
CD;1998;382.785558282
CD;1999;22513.531071429
CD;1999;390.675102041
CD;2000;22458.127163182
CD;2000;242.519561556
CD;2001;21332.583043478
CD;2001;131.207267081
CD;2002;19592.918763202
CD;2002;31.884591440
CD;2003;17866.110595109
CD;2003;57.258586957
CD;2004;17733.591622552
CD;2004;23.238883007
CD;2005;15764.409272913
CD;2005;16.333535586
CD;2006;13605.844508929
CD;2006;11.177795139
CD;2007;10520.756664255
CD;2007;17.223304390
CD;2008;7436.976268329
CD;2008;4.757446482
CD;2009;5891.377310208
CD;2009;4.228783380
CD;2010;4548.945486481
CD;2010;3.892117163
CD;2011;4034.139737884
CD;2011;4.553645655
CD;2012;3168.321340109
CD;2012;4.110906975
CD;2013;2689.553328770
CD;2013;3.072486458
CD;2014;2195.814096104
CD;2014;4.470148308
CD;2015;1784.194733087
CD;2015;1.477921036
CD;2016;1378.809488191
CD;2016;0.320934503
CD;2017;1246.357914684
CD;2017;0.217699423
CD;2018;810.942438286
CD;2018;0.018419090
CD;2019;721.963353856
CD;2019;0.071611990
CD;2020;546.375543076
CD;2020;0.418784155
CD;2021;632.205389987
CD;2021;0.117422263
Download;2004;70.491278454
Download;2004;213.797723663
Download;2005;203.345025602
Download;2005;544.401236559
Download;2006;400.513464782
Download;2006;842.834786706
Download;2007;702.202590449
Download;2007;1144.926218041
Download;2008;863.544500077
Download;2008;1403.038931181
Download;2009;1015.317248307
Download;2009;1598.752942383
Download;2010;1170.856211248
Download;2010;1793.594957259
Download;2011;1393.155362120
Download;2011;1980.705755783
Download;2012;1535.742455769
Download;2012;2096.273518483
Download;2013;1547.890162020
Download;2013;1976.628246878
Download;2014;1381.957231192
Download;2014;1675.471695712
Download;2015;1314.301578191
Download;2015;1463.463415110
Download;2016;1059.129340410
Download;2016;1097.645532594
Download;2017;775.745715303
Download;2017;797.394060791
Download;2018;577.203455944
Download;2018;570.919164664
Download;2019;422.146436817
Download;2019;467.448777017
Download;2020;361.023305368
Download;2020;342.936792588
Download;2021;327.543514751
Download;2021;290.411731158
LP/EP/Vinyl;1973;8212.795720721
LP/EP/Vinyl;1973;1252.352477477
LP/EP/Vinyl;1974;8049.496551724
LP/EP/Vinyl;1974;1151.624137931
LP/EP/Vinyl;1975;8077.930762082
LP/EP/Vinyl;1975;1150.493169145
LP/EP/Vinyl;1976;8553.343848858
LP/EP/Vinyl;1976;1260.628128295
LP/EP/Vinyl;1977;10600.775420792
LP/EP/Vinyl;1977;1183.659084158
LP/EP/Vinyl;1978;11101.589133436
LP/EP/Vinyl;1978;1168.375713190
LP/EP/Vinyl;1979;8291.891666667
LP/EP/Vinyl;1979;1425.383030303
LP/EP/Vinyl;1980;7813.604368932
LP/EP/Vinyl;1980;887.909587379
LP/EP/Vinyl;1981;7539.166265127
LP/EP/Vinyl;1981;825.486710671
LP/EP/Vinyl;1982;5838.239797927
LP/EP/Vinyl;1982;858.252487047
LP/EP/Vinyl;1983;4962.794126506
LP/EP/Vinyl;1983;791.285055221
LP/EP/Vinyl;1984;4362.503022137
LP/EP/Vinyl;1984;841.347916266
LP/EP/Vinyl;1985;3482.757690520
LP/EP/Vinyl;1985;764.275604089
LP/EP/Vinyl;1986;2624.816286496
LP/EP/Vinyl;1986;609.074867701
LP/EP/Vinyl;1987;2043.175004401
LP/EP/Vinyl;1987;523.739097711
LP/EP/Vinyl;1988;1316.576424345
LP/EP/Vinyl;1988;446.280321217
LP/EP/Vinyl;1989;519.934649194
LP/EP/Vinyl;1989;274.718080645
LP/EP/Vinyl;1990;193.685214231
LP/EP/Vinyl;1990;211.374384086
LP/EP/Vinyl;1991;63.172224670
LP/EP/Vinyl;1991;137.302896476
LP/EP/Vinyl;1992;28.159960798
LP/EP/Vinyl;1992;138.505288667
LP/EP/Vinyl;1993;21.468117647
LP/EP/Vinyl;1993;103.695058824
LP/EP/Vinyl;1994;35.150195682
LP/EP/Vinyl;1994;93.207260459
LP/EP/Vinyl;1995;48.199740814
LP/EP/Vinyl;1995;89.678402231
LP/EP/Vinyl;1996;68.640560867
LP/EP/Vinyl;1996;88.598550032
LP/EP/Vinyl;1997;60.719074766
LP/EP/Vinyl;1997;64.912884735
LP/EP/Vinyl;1998;61.044601227
LP/EP/Vinyl;1998;46.142536810
LP/EP/Vinyl;1999;55.860918367
LP/EP/Vinyl;1999;49.010051020
LP/EP/Vinyl;2000;47.076326945
LP/EP/Vinyl;2000;44.697018002
LP/EP/Vinyl;2001;45.278074534
LP/EP/Vinyl;2001;51.888012422
LP/EP/Vinyl;2002;33.348679822
LP/EP/Vinyl;2002;40.506445247
LP/EP/Vinyl;2003;34.514203804
LP/EP/Vinyl;2003;34.196100543
LP/EP/Vinyl;2004;29.900696136
LP/EP/Vinyl;2004;30.830251456
LP/EP/Vinyl;2005;21.278550947
LP/EP/Vinyl;2005;19.780061444
LP/EP/Vinyl;2006;22.791088790
LP/EP/Vinyl;2006;14.371450893
LP/EP/Vinyl;2007;32.328989387
LP/EP/Vinyl;2007;5.646985046
LP/EP/Vinyl;2008;77.070633015
LP/EP/Vinyl;2008;3.941884228
LP/EP/Vinyl;2009;87.031090208
LP/EP/Vinyl;2009;3.410309177
LP/EP/Vinyl;2010;119.313522673
LP/EP/Vinyl;2010;3.086851543
LP/EP/Vinyl;2011;155.344368918
LP/EP/Vinyl;2011;5.984791432
LP/EP/Vinyl;2012;204.867751876
LP/EP/Vinyl;2012;6.045798333
LP/EP/Vinyl;2013;264.743437545
LP/EP/Vinyl;2013;3.742325237
LP/EP/Vinyl;2014;301.445489494
LP/EP/Vinyl;2014;6.798347230
